the nether; explode
Red Candle; explode
Red Carpet; explode
Red Concrete; explode
Red Concrete Powder; explode
Red Glazed Terracotta; explode
Red Mushroom; explode
Red Mushroom Block; explode
Red Nether Brick Slab; explode
Red Nether Brick Stairs; explode
Red Nether Brick Wall; explode
Red Nether Bricks; explode
Red Sand; explode
Red Sandstone; explode
Red Sandstone Slab; explode
Red Sandstone Stairs; explode
Red Sandstone Wall; explode
Red Shulker Box; explode
Red Stained Glass; explode
Red Stained Glass Pane; explode
Red Terracotta; explode
Red Tulip; explode
Red Wool; explode
Redstone Comparator; explode
Redstone Lamp; explode
Redstone Ore; explode
Redstone Repeater; explode
Redstone Torch; explode
Redstone Wire; explode
Reinforced Deepslate; explode
Repeating Command Block; explode
Respawn Anchor; explode
Resin Bricks; explode
Resin Brick Slab; explode
Resin Brick Stairs; explode
Resin Brick Wall; explode
Resin Clump; explode
Rooted Dirt; explode
Rose Bush; explode
Sand; explode
Sandstone; explode
Sandstone Slab; explode
Sandstone Stairs; explode
Sandstone Wall; explode
Scaffolding; explode
Sculk; explode
Sculk Catalyst; explode
Sculk Sensor; explode
Sculk Shrieker; explode
Sculk Vein; explode
Sea Lantern; explode
Sea Pickle; explode
Seagrass; explode
Short Dry Grass; explode
Short Grass; explode
Shroomlight; explode
Shulker Box; explode
Skeleton Skull; explode
Slime Block; explode
Small Amethyst Bud; explode
Small Dripleaf; explode
Smithing Table; explode
Smoker; explode
Smooth Basalt; explode
Smooth Quartz Block; explode
Smooth Quartz Slab; explode
Smooth Quartz Stairs; explode
Smooth Red Sandstone; explode
Smooth Red Sandstone Slab; explode
Smooth Red Sandstone Stairs; explode
Smooth Sandstone; explode
Smooth Sandstone Slab; explode
Smooth Sandstone Stairs; explode
Smooth Stone; explode
Smooth Stone Slab; explode
Sniffer Egg; explode
Snow; explode
Snow Block; explode
Soul Campfire; explode
Soul Fire; explode
Soul Lantern; explode
Soul Sand; explode
Soul Soil; explode
Soul Torch; explode
Sponge; explode
Spore Blossom; explode
Spruce Button; explode
Spruce Door; explode
Spruce Fence; explode
Spruce Fence Gate; explode
Spruce Hanging Sign; explode
Spruce Leaves; explode
Spruce Log; explode
Spruce Planks; explode
Spruce Pressure Plate; explode
Spruce Sapling; explode
Spruce Sign; explode
Spruce Slab; explode
Spruce Stairs; explode
Spruce Trapdoor; explode
Spruce Wood; explode
Sticky Piston; explode
Stone; explode
Stone Brick Slab; explode
Stone Brick Stairs; explode
Stone Brick Wall; explode
Stone Bricks; explode
Stone Button; explode
Stone Pressure Plate; explode
Stone Slab; explode
Stone Stairs; explode
Stonecutter; explode
Stripped Acacia Log; explode
Stripped Acacia Wood; explode
Stripped Birch Log; explode
Stripped Birch Wood; explode
Stripped Cherry Log; explode
Stripped Cherry Wood; explode
Stripped Crimson Hyphae; explode
Stripped Crimson Stem; explode
Stripped Dark Oak Log; explode
Stripped Dark Oak Wood; explode
Stripped Jungle Log; explode
Stripped Jungle Wood; explode
Stripped Mangrove Log; explode
Stripped Mangrove Wood; explode
Stripped Oak Log; explode
Stripped Oak Wood; explode
Stripped Pale Oak Log; explode
Stripped Pale Oak Wood; explode
Stripped Spruce Log; explode
Stripped Spruce Wood; explode
Stripped Warped Hyphae; explode
Stripped Warped Stem; explode
Structure Block; explode
Structure Void; explode
Sugar Cane; explode
Sunflower; explode
Suspicious Gravel; explode
Suspicious Sand; explode
Sweet Berry Bush; explode
Tall Dry Grass; explode
Tall Grass; explode
Tall Seagrass; explode
Target; explode
Terracotta; explode
Test Block; explode
Test Instance Block; explode
Tinted Glass; explode
TNT; explode
Torch; explode
Torchflower; explode
Torchflower Crop; explode
Trapped Chest; explode
Trial Spawner; explode
Tripwire; explode
Tripwire Hook; explode
Tube Coral; explode
Tube Coral Block; explode
Tube Coral Fan; explode
Tuff; explode
Tuff Brick Slab; explode
Tuff Brick Stairs; explode
Tuff Brick Wall; explode
Tuff Bricks; explode
Tuff Slab; explode
Tuff Stairs; explode
Tuff Wall; explode
Turtle Egg; explode
Twisting Vines; explode
Vault; explode
Verdant Froglight; explode
Vines; explode
Warped Button; explode
Warped Door; explode
Warped Fence; explode
Warped Fence Gate; explode
Warped Fungus; explode
Warped Hanging Sign; explode
Warped Hyphae; explode
Warped Nylium; explode
Warped Planks; explode
Warped Pressure Plate; explode
Warped Roots; explode
Warped Sign; explode
Warped Slab; explode
Warped Stairs; explode
Warped Stem; explode
Warped Trapdoor; explode
Warped Wart Block; explode
Water; explode
Waxed Block of Copper; explode
Waxed Chiseled Copper; explode
Waxed Copper Bulb; explode
Waxed Copper Door; explode
Waxed Copper Grate; explode
Waxed Copper Trapdoor; explode
Waxed Cut Copper; explode
Waxed Cut Copper Slab; explode
Waxed Cut Copper Stairs; explode
Waxed Exposed Chiseled Copper; explode
Waxed Exposed Copper; explode
Waxed Exposed Copper Bulb; explode
Waxed Exposed Copper Door; explode
Waxed Exposed Copper Grate; explode
Waxed Exposed Copper Trapdoor; explode
Waxed Exposed Cut Copper; explode
Waxed Exposed Cut Copper Slab; explode
Waxed Exposed Cut Copper Stairs; explode
Waxed Oxidized Chiseled Copper; explode
Waxed Oxidized Copper; explode
Waxed Oxidized Copper Bulb; explode
Waxed Oxidized Copper Door; explode
Waxed Oxidized Copper Grate; explode
Waxed Oxidized Copper Trapdoor; explode
Waxed Oxidized Cut Copper; explode
Waxed Oxidized Cut Copper Slab; explode
Waxed Oxidized Cut Copper Stairs; explode
Waxed Weathered Chiseled Copper; explode
Waxed Weathered Copper; explode
Waxed Weathered Copper Bulb; explode
Waxed Weathered Copper Door; explode
Waxed Weathered Copper Grate; explode
Waxed Weathered Copper Trapdoor; explode
Waxed Weathered Cut Copper; explode
Waxed Weathered Cut Copper Slab; explode
Waxed Weathered Cut Copper Stairs; explode
Weathered Chiseled Copper; explode
Weathered Copper; explode
Weathered Copper Bulb; explode
Weathered Copper Door; explode
Weathered Copper Grate; explode
Weathered Copper Trapdoor; explode
Weathered Cut Copper; explode
Weathered Cut Copper Slab; explode
Weathered Cut Copper Stairs; explode
Weeping Vines; explode
Wet Sponge; explode
Wheat Crops; explode
White Banner; explode
White Bed; explode
White Candle; explode
White Carpet; explode
White Concrete; explode
White Concrete Powder; explode
White Glazed Terracotta; explode
White Shulker Box; explode
White Stained Glass; explode
White Stained Glass Pane; explode
White Terracotta; explode
White Tulip; explode
White Wool; explode
Wildflowers; explode
Wither Rose; explode
Wither Skeleton Skull; explode
Yellow Banner; explode
Yellow Bed; explode
Yellow Candle; explode
Yellow Carpet; explode
Yellow Concrete; explode
Yellow Concrete Powder; explode
Yellow Glazed Terracotta; explode
Yellow Shulker Box; explode
Yellow Stained Glass; explode
Yellow Stained Glass Pane; explode
Yellow Terracotta; explode
Yellow Wool; explode
Zombie Head; explode
